MATERIA,DESCRIPCION,ABREVIATURA,DEPARTAMENTO,CURSO,CURSO_N,ENSEÑANZAS,ESPECIALIDAD
38141,Instrumento,INS,,1º de Enseñanzas Profesionales de Música (Fagot),1º,Profesional,Fagot
38143,Lenguaje Musical,LM,,1º de Enseñanzas Profesionales de Música (Fagot),1º,Profesional,Fagot
38147,Banda,BANDA,,1º de Enseñanzas Profesionales de Música (Fagot),1º,Profesional,Fagot
38149,Instrumento Complementario,INCOM,,1º de Enseñanzas Profesionales de Música (Fagot),1º,Profesional,Fagot
38597,Instrumento,INS,,3º de Enseñanzas Profesionales de Música (Fagot),3º,Profesional,Fagot
38599,Armonía,AR,,3º de Enseñanzas Profesionales de Música (Fagot),3º,Profesional,Fagot
38603,Banda,BANDA,,3º de Enseñanzas Profesionales de Música (Fagot),3º,Profesional,Fagot
38605,Historia de la Música,HM,,3º de Enseñanzas Profesionales de Música (Fagot),3º,Profesional,Fagot
38609,Repertorio acompañado,RA,,3º de Enseñanzas Profesionales de Música (Fagot),3º,Profesional,Fagot
38607,Instrumento Complementario,INCOM,,3º de Enseñanzas Profesionales de Música (Fagot),3º,Profesional,Fagot
38885,Instrumento,INS,,4º de Enseñanzas Profesionales de Música (Fagot),4º,Profesional,Fagot
38887,Armonía,AR,,4º de Enseñanzas Profesionales de Música (Fagot),4º,Profesional,Fagot
38891,Banda,BANDA,,4º de Enseñanzas Profesionales de Música (Fagot),4º,Profesional,Fagot
38893,Historia de la Música,HM,,4º de Enseñanzas Profesionales de Música (Fagot),4º,Profesional,Fagot
38895,Instrumento Complementario,INCOM,,4º de Enseñanzas Profesionales de Música (Fagot),4º,Profesional,Fagot
38897,Repertorio acompañado,RA,,4º de Enseñanzas Profesionales de Música (Fagot),4º,Profesional,Fagot
39717,Fundamentos de Composición,FCOM,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39719,Coro,CO,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39721,Didáctica de la Música,DIMU,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39723,Improvisación,IMP,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39725,Informática musical,INMU,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39733,Música moderna,MUMO,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39181,Instrumento,INS,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39183,Música de Cámara,MC,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39187,Banda,BANDA,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39189,Análisis,AN,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39191,Repertorio acompañado,RA,,5º de Enseñanzas Profesionales de Música (Fagot),5º,Profesional,Fagot
39437,Instrumento,INS,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
39439,Música de Cámara,MC,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
39443,Banda,BANDA,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
39445,Análisis,AN,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
39447,Repertorio acompañado,RA,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
40131,Fundamentos de Composición,FCOM,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
40135,Didáctica de la Música,DIMU,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
40137,Improvisación,IMP,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
40139,Informática musical,INMU,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
40147,Música moderna,MUMO,,6º de Enseñanzas Profesionales de Música (Fagot),6º,Profesional,Fagot
38845,Instrumento,INS,,4º de Enseñanzas Profesionales de Música (Canto),4º,Profesional,Canto
38847,Armonía,AR,,4º de Enseñanzas Profesionales de Música (Canto),4º,Profesional,Canto
38849,Idioma aplicado al Canto,IDAPC,,4º de Enseñanzas Profesionales de Música (Canto),4º,Profesional,Canto
38851,Historia de la Música,HM,,4º de Enseñanzas Profesionales de Música (Canto),4º,Profesional,Canto
38853,Instrumento Complementario,INCOM,,4º de Enseñanzas Profesionales de Música (Canto),4º,Profesional,Canto
38855,Repertorio acompañado,RA,,4º de Enseñanzas Profesionales de Música (Canto),4º,Profesional,Canto
39663,Fundamentos de Composición,FCOM,DEPARTAMENTO DE COMPOSICIÓN,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39665,Coro,CO,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39667,Didáctica de la Música,DIMU,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39669,Improvisación,IMP,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39671,Informática musical,INMU,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39679,Música moderna,MUMO,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39133,Instrumento,INS,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39135,Música de Cámara,MC,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39137,Idioma aplicado al Canto,IDAPC,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39139,Análisis,AN,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
39141,Repertorio acompañado,RA,,5º de Enseñanzas Profesionales de Música (Canto),5º,Profesional,Canto
40077,Fundamentos de Composición,FCOM,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
40079,Coro,CO,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
40081,Didáctica de la Música,DIMU,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
40083,Improvisación,IMP,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
40085,Informática musical,INMU,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
40093,Música moderna,MUMO,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
39403,Instrumento,INS,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
39405,Música de Cámara,MC,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
39407,Idioma aplicado al Canto,IDAPC,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
39409,Análisis,AN,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
39411,Repertorio acompañado,RA,,6º de Enseñanzas Profesionales de Música (Canto),6º,Profesional,Canto
38121,Instrumento,INS,,1º de Enseñanzas Profesionales de Música (Clarinete),1º,Profesional,Clarinete
